ticker,Расширение,Ложный пробой,Колено,2xEXTR,Не на уровне,От плотности,Контр тренд,Треугольник,50%,Datetime,PNL,filenames
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_5c82cb9c1c5ed429e91ee1a780bf8573.png', 'ETH_3_a6e90f7461f93ba44f961456ff7c8d59.png']"
ETH,0,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_fe598c8be39541d4e4bcd6e5f4823717.png', 'ETH_3_57ab6bfe9ebeb13c0ff20700a50dcced.png']"
ETH,0,0,-1,-1,0,1,1,1,0,-1,NA,"['ETH_15_a3d15bb02f44304c38837a05c3bf5ae9.png', 'ETH_3_c9feb83967c2e775170804c25bf66f10.png']"
ETH,1,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_b8c6de556563baca3904910e8fc420db.png', 'ETH_3_314dbd8247a4cdb5d9f7779184037668.png']"
ETH,1,0,-1,-1,1,1,1,0,0,-1,NA,"['ETH_15_b2d33628b3cc9ecba3c610fb6ef61938.png', 'ETH_3_dba951416b3d56b386ce9b0b34713a79.png']"
ETH,0,0,-1,-1,0,1,1,0,1,-1,NA,"['ETH_15_654bf7f21f890323daa9361f7cf041d9.png', 'ETH_3_fb1b522d3d6abf867f1f8126665a0581.png']"
ETH,0,0,-1,-1,1,1,1,0,0,-1,NA,"['ETH_15_f2b4e7a72d42c59bef85ccd1e919f05a.png', 'ETH_3_58e4b6d18b652dd5cb0fb983b487393b.png']"
ETH,1,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_c6a9f721bb9d80616cde30d1752ba89c.png', 'ETH_3_51d394df29f10d60c19659fcb95839c0.png']"
ETH,0,0,-1,-1,0,1,0,0,1,-1,NA,"['ETH_15_2b9e977e959642cb0c57f6505c361f1c.png', 'ETH_3_56904a16821bb9bcd976208b3a50e10d.png']"
ETH,1,0,0,0,0,0,0,0,1,-1,NA,"['ETH_15_83c55cbbf5ad2a1745c1cb336253010a.png', 'ETH_3_5b49355b4736594740eaa1398d984240.png']"
Rook_ETH,0,0,0,0,0,0,1,0,1,-1,-,"['Rook_ETH_15_0573481d50dfed3783de0f33ab01a009.png', 'Rook_ETH_3_1ba6030235ecf512aaf85a3867c33e2b.png']"
Rook_ETH,1,0,1,1,0,0,0,0,0,-1,-,"['Rook_ETH_15_4a90dc210905ecb49837655e75863b01.png', 'Rook_ETH_3_c41a394da98f7067f7d4326bf08e4987.png']"
Rook_ETH,0,0,1,0,1,0,0,0,0,-1,-,"['Rook_ETH_15_4b5544cee6fc00a43e71d88bebc11f30.png', 'Rook_ETH_3_fb898bf9159aedb45119519cc51dc0f0.png']"
Rook_ETH,0,0,1,1,1,0,1,0,0,-1,-,"['Rook_ETH_15_5229d6a69bdaf9dd39bdd22984fadfc9.png', 'Rook_ETH_3_e6eb19e78d0dfbc5441a379afb035ee6.png']"
Rook_ETH,0,0,0,1,1,0,0,0,0,-1,+,"['Rook_ETH_15_bbff82956343dd915303a1f973df8686.png', 'Rook_ETH_3_8bd25e631af2a0c05043c4e4cc320ec7.png']"
Rook_ETH,0,0,1,1,0,0,0,0,0,-1,+,"['Rook_ETH_15_bac8151b99a0e953927a6ab09c2f680e.png', 'Rook_ETH_3_e50b7af2f7e9f7ba0408853e8546a1f9.png']"
Rook_ETH,1,0,0,0,0,0,1,0,0,-1,-,"['Rook_ETH_15_ca18f1383fd7575e5b25c30fcd4d3a87.png', 'Rook_ETH_3_b2204202ef9012edceee5a72ec9ae7cb.png']"
Rook_ETH,1,0,0,0,0,1,1,0,0,-1,-,"['Rook_ETH_15_0c8e2d0469669fece09845dd52eabf05.png', 'Rook_ETH_3_617364bfade19d0a984d3bfd4419faa0.png']"
Rook_ETH,0,0,1,0,0,0,0,0,0,-1,-,"['Rook_ETH_15_4e35b9f4f9139f837ae59bcbe49bc8ea.png', 'Rook_ETH_3_b85c16240c0252e7fef9242615bd9b00.png']"
Rook_ETH,0,0,1,0,0,0,1,0,0,-1,-,"['Rook_ETH_15_c8a593356f7f70e43511b9cad9513b57.png', 'Rook_ETH_3_e64275935363df77a1bb6ff993416e1f.png']"
Rook_ETH,1,1,0,1,0,0,1,0,0,-1,+,"['Rook_ETH_15_649634ddbb3d18d27e6805b254bfbf78.png', 'Rook_ETH_3_3ad8b578de1dbd370103a6d80899a98b.png']"
Rook_ETH,0,0,0,1,0,0,1,0,0,-1,-,"['Rook_ETH_15_179cdac460018799ec366e1f0a8835b3.png', 'Rook_ETH_3_3ed0da943801ecc0fdb5c1ad26698c25.png']"
Rook_ETH,0,1,0,0,0,0,1,0,0,-1,+,"['Rook_ETH_15_88b072ae5962e727f99bde109660a585.png', 'Rook_ETH_3_49fae427b0441fdcf51eca646c6c2cb5.png']"
Rook_ETH,0,0,0,0,0,0,1,0,0,-1,+,"['Rook_ETH_15_4edaded10d48b84deb71cb8f330f6fb1.png', 'Rook_ETH_3_15cc1cc44d39d7d83aaf2a9244674217.png']"
Rook_ETH,0,1,0,0,0,0,1,0,0,-1,-,"['Rook_ETH_15_07c827b0e395e0c2519b63dbbde4b9dd.png', 'Rook_ETH_3_55a4b31b639b912f2f3f36929601da61.png']"
Rook_ETH,0,0,1,0,0,0,0,0,0,-1,+,"['Rook_ETH_15_3b97611675ba0a95858fce08ab29917e.png', 'Rook_ETH_3_458a732845b46d6287007b0477f42716.png']"
Rook_ETH,0,0,1,0,0,0,1,0,1,-1,-,"['Rook_ETH_15_83318723c9090b8bdc1799d38397d676.png', 'Rook_ETH_3_b3cb99382cdf949c0f63e132e785072c.png']"
Rook_ETH,0,0,0,1,0,0,1,0,0,-1,+,"['Rook_ETH_15_7a8b949560aad64e200bbcb4e5f25d46.png', 'Rook_ETH_3_8ba7c43e40468d7c44883a3697c53ad4.png']"
Rook_ETH,0,0,0,0,1,0,1,0,0,-1,-,"['Rook_ETH_15_cf1720035831365b9c4c599784d711e5.png', 'Rook_ETH_3_c454554107f805dbb2943089a3940e22.png']"
Rook_ETH,0,0,1,1,1,0,1,0,0,-1,+,"['Rook_ETH_15_e58be8587b592452326b3d2ead6e06b1.png', 'Rook_ETH_3_a5fa5d3d4b6fb4583d7c212a876bf2d8.png']"
Rook_ETH,0,0,0,0,0,0,1,0,0,-1,-,"['Rook_ETH_15_0ddf5afbafaa9fc6462d2827ed03e657.png', 'Rook_ETH_3_5a93995708bc765c20316702755f671e.png']"
